,Unnamed: 0,Source,Destination,Q,hour,day,weather,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude
180,180,Back Bay,Fenway,21.954733214936617,6,1,Rain,42.35,-71.08,42.347,-71.092
181,181,Beacon Hill,Fenway,21.84540450889285,6,1,Rain,42.356,-71.069,42.347,-71.092
182,182,Boston University,Fenway,21.45797676305426,6,1,Rain,42.351,-71.105,42.347,-71.092
183,183,Fenway,Fenway,23.274916853010847,6,1,Rain,42.347,-71.092,42.347,-71.092
184,184,Financial District,Fenway,24.84769304677326,6,1,Rain,42.356,-71.055,42.347,-71.092
185,185,Haymarket Square,Fenway,24.317238846640038,6,1,Rain,42.364,-71.059,42.347,-71.092
186,186,North End,Fenway,23.86050646934349,6,1,Rain,42.365,-71.056,42.347,-71.092
187,187,North Station,Fenway,23.698012702019813,6,1,Rain,42.366,-71.062,42.347,-71.092
188,188,Northeastern University,Fenway,23.007595697950297,6,1,Rain,42.34,-71.09,42.347,-71.092
189,189,South Station,Fenway,21.823610085086862,6,1,Rain,42.352,-71.055,42.347,-71.092
190,190,Theatre District,Fenway,24.793310410582432,6,1,Rain,42.352,-71.064,42.347,-71.092
191,191,West End,Fenway,23.74869046251379,6,1,Rain,42.365,-71.064,42.347,-71.092
192,192,Back Bay,Financial District,21.952265705363136,6,1,Rain,42.35,-71.08,42.356,-71.055
193,193,Beacon Hill,Financial District,21.84646338395847,6,1,Rain,42.356,-71.069,42.356,-71.055
194,194,Boston University,Financial District,21.461509254784755,6,1,Rain,42.351,-71.105,42.356,-71.055
195,195,Fenway,Financial District,23.27664028634405,6,1,Rain,42.347,-71.092,42.356,-71.055
196,196,Financial District,Financial District,29.062343059360085,6,1,Rain,42.356,-71.055,42.356,-71.055
197,197,Haymarket Square,Financial District,25.534398503769783,6,1,Rain,42.364,-71.059,42.356,-71.055
198,198,North End,Financial District,23.86198587324998,6,1,Rain,42.365,-71.056,42.356,-71.055
199,199,North Station,Financial District,23.62453818936346,6,1,Rain,42.366,-71.062,42.356,-71.055
200,200,Northeastern University,Financial District,23.01164261610085,6,1,Rain,42.34,-71.09,42.356,-71.055
201,201,South Station,Financial District,25.687407821078,6,1,Rain,42.352,-71.055,42.356,-71.055
202,202,Theatre District,Financial District,24.79038347174916,6,1,Rain,42.352,-71.064,42.356,-71.055
203,203,West End,Financial District,23.75304118150345,6,1,Rain,42.365,-71.064,42.356,-71.055
204,204,Back Bay,Haymarket Square,21.95189079086133,6,1,Rain,42.35,-71.08,42.364,-71.059
205,205,Beacon Hill,Haymarket Square,21.844847586202,6,1,Rain,42.356,-71.069,42.364,-71.059
206,206,Boston University,Haymarket Square,21.45768879382999,6,1,Rain,42.351,-71.105,42.364,-71.059
207,207,Fenway,Haymarket Square,23.276284548800213,6,1,Rain,42.347,-71.092,42.364,-71.059
208,208,Financial District,Haymarket Square,26.090551992092493,6,1,Rain,42.356,-71.055,42.364,-71.059
209,209,Haymarket Square,Haymarket Square,25.98048959167434,6,1,Rain,42.364,-71.059,42.364,-71.059
210,210,North End,Haymarket Square,23.858110709068416,6,1,Rain,42.365,-71.056,42.364,-71.059
211,211,North Station,Haymarket Square,24.89868556673953,6,1,Rain,42.366,-71.062,42.364,-71.059
212,212,Northeastern University,Haymarket Square,23.012554689207214,6,1,Rain,42.34,-71.09,42.364,-71.059
213,213,South Station,Haymarket Square,21.494911998806085,6,1,Rain,42.352,-71.055,42.364,-71.059
214,214,Theatre District,Haymarket Square,24.79372979442736,6,1,Rain,42.352,-71.064,42.364,-71.059
215,215,West End,Haymarket Square,23.752131817613996,6,1,Rain,42.365,-71.064,42.364,-71.059
216,216,Back Bay,North End,21.952045838364796,6,1,Rain,42.35,-71.08,42.365,-71.056
217,217,Beacon Hill,North End,21.844033776878423,6,1,Rain,42.356,-71.069,42.365,-71.056
218,218,Boston University,North End,21.453706337367905,6,1,Rain,42.351,-71.105,42.365,-71.056
219,219,Fenway,North End,23.276177495273508,6,1,Rain,42.347,-71.092,42.365,-71.056
220,220,Financial District,North End,26.10604459453525,6,1,Rain,42.356,-71.055,42.365,-71.056
221,221,Haymarket Square,North End,24.07487582113443,6,1,Rain,42.364,-71.059,42.365,-71.056
222,222,North End,North End,23.85882086429854,6,1,Rain,42.365,-71.056,42.365,-71.056
223,223,North Station,North End,24.213912488436453,6,1,Rain,42.366,-71.062,42.365,-71.056
224,224,Northeastern University,North End,23.010667932157663,6,1,Rain,42.34,-71.09,42.365,-71.056
225,225,South Station,North End,21.52560434770843,6,1,Rain,42.352,-71.055,42.365,-71.056
