Source,Destination,Q,hour,weather,day,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude
Beacon Hill,Northeastern University,10.040074634284924,6,Clear,2,42.3562,-71.0694,42.3399,-71.0899
Boston University,Northeastern University,0.0,6,Clear,2,42.3505,-71.1054,42.3399,-71.0899
Fenway,Northeastern University,0.0,6,Clear,2,42.3468,-71.0923,42.3399,-71.0899
Financial District,Northeastern University,11.15284969050446,6,Clear,2,42.3559,-71.055,42.3399,-71.0899
Haymarket Square,Northeastern University,0.0,6,Clear,2,42.3638,-71.0585,42.3399,-71.0899
North End,Northeastern University,0.0,6,Clear,2,42.3652,-71.0555,42.3399,-71.0899
North Station,Northeastern University,10.619129395252658,6,Clear,2,42.3664,-71.062,42.3399,-71.0899
Northeastern University,Northeastern University,0.0,6,Clear,2,42.3399,-71.0899,42.3399,-71.0899
South Station,Northeastern University,0.0,6,Clear,2,42.3519,-71.0552,42.3399,-71.0899
Theatre District,Northeastern University,10.201332150677041,6,Clear,2,42.3519,-71.0643,42.3399,-71.0899
West End,Northeastern University,9.815091826245473,6,Clear,2,42.3652,-71.0641,42.3399,-71.0899
Back Bay,South Station,12.733059292686944,6,Clear,2,42.3495,-71.0795,42.3519,-71.0552
Beacon Hill,South Station,10.871570788521565,6,Clear,2,42.3562,-71.0694,42.3519,-71.0552
Boston University,South Station,0.0,6,Clear,2,42.3505,-71.1054,42.3519,-71.0552
Fenway,South Station,0.0,6,Clear,2,42.3468,-71.0923,42.3519,-71.0552
Financial District,South Station,28.851466701594937,6,Clear,2,42.3559,-71.055,42.3519,-71.0552
Haymarket Square,South Station,0.0,6,Clear,2,42.3638,-71.0585,42.3519,-71.0552
North End,South Station,0.0,6,Clear,2,42.3652,-71.0555,42.3519,-71.0552
North Station,South Station,13.675714926644849,6,Clear,2,42.3664,-71.062,42.3519,-71.0552
Northeastern University,South Station,0.0,6,Clear,2,42.3399,-71.0899,42.3519,-71.0552
South Station,South Station,0.0,6,Clear,2,42.3519,-71.0552,42.3519,-71.0552
Theatre District,South Station,23.900418581846615,6,Clear,2,42.3519,-71.0643,42.3519,-71.0552
West End,South Station,10.92148199994629,6,Clear,2,42.3652,-71.0641,42.3519,-71.0552
Back Bay,Theatre District,0.0,6,Clear,2,42.3495,-71.0795,42.3519,-71.0643
Beacon Hill,Theatre District,0.0,6,Clear,2,42.3562,-71.0694,42.3519,-71.0643
Boston University,Theatre District,10.501106520128703,6,Clear,2,42.3505,-71.1054,42.3519,-71.0643
Fenway,Theatre District,10.559514074284882,6,Clear,2,42.3468,-71.0923,42.3519,-71.0643
Financial District,Theatre District,0.0,6,Clear,2,42.3559,-71.055,42.3519,-71.0643
Haymarket Square,Theatre District,14.725489903049914,6,Clear,2,42.3638,-71.0585,42.3519,-71.0643
North End,Theatre District,11.033054983193079,6,Clear,2,42.3652,-71.0555,42.3519,-71.0643
North Station,Theatre District,0.0,6,Clear,2,42.3664,-71.062,42.3519,-71.0643
Northeastern University,Theatre District,11.670243938400022,6,Clear,2,42.3399,-71.0899,42.3519,-71.0643
South Station,Theatre District,15.276303597000355,6,Clear,2,42.3519,-71.0552,42.3519,-71.0643
Theatre District,Theatre District,0.0,6,Clear,2,42.3519,-71.0643,42.3519,-71.0643
West End,Theatre District,0.0,6,Clear,2,42.3652,-71.0641,42.3519,-71.0643
Back Bay,West End,0.0,6,Clear,2,42.3495,-71.0795,42.3652,-71.0641
Beacon Hill,West End,0.0,6,Clear,2,42.3562,-71.0694,42.3652,-71.0641
Boston University,West End,10.311966656323454,6,Clear,2,42.3505,-71.1054,42.3652,-71.0641
Fenway,West End,10.340400901723516,6,Clear,2,42.3468,-71.0923,42.3652,-71.0641
Financial District,West End,0.0,6,Clear,2,42.3559,-71.055,42.3652,-71.0641
Haymarket Square,West End,17.527428784998875,6,Clear,2,42.3638,-71.0585,42.3652,-71.0641
North End,West End,11.156454724273065,6,Clear,2,42.3652,-71.0555,42.3652,-71.0641
North Station,West End,0.0,6,Clear,2,42.3664,-71.062,42.3652,-71.0641
Northeastern University,West End,10.947162742860971,6,Clear,2,42.3399,-71.0899,42.3652,-71.0641
South Station,West End,13.862319157622972,6,Clear,2,42.3519,-71.0552,42.3652,-71.0641
Theatre District,West End,0.0,6,Clear,2,42.3519,-71.0643,42.3652,-71.0641
West End,West End,0.0,6,Clear,2,42.3652,-71.0641,42.3652,-71.0641
Back Bay,Back Bay,0.0,6,Clear,3,42.3495,-71.0795,42.3495,-71.0795
Beacon Hill,Back Bay,0.0,6,Clear,3,42.3562,-71.0694,42.3495,-71.0795
Boston University,Back Bay,12.9898678419235,6,Clear,3,42.3505,-71.1054,42.3495,-71.0795
Fenway,Back Bay,12.811333032644132,6,Clear,3,42.3468,-71.0923,42.3495,-71.0795
Financial District,Back Bay,0.0,6,Clear,3,42.3559,-71.055,42.3495,-71.0795
Haymarket Square,Back Bay,10.862153683252489,6,Clear,3,42.3638,-71.0585,42.3495,-71.0795
North End,Back Bay,9.8923834871327,6,Clear,3,42.3652,-71.0555,42.3495,-71.0795
North Station,Back Bay,0.0,6,Clear,3,42.3664,-71.062,42.3495,-71.0795
Northeastern University,Back Bay,11.524788558107609,6,Clear,3,42.3399,-71.0899,42.3495,-71.0795
